# Time(days) Flux(e/s)
3314.318869 0.802431
3314.321184 0.779260
3314.323498 0.796636
3314.325813 0.801305
3314.328128 0.817628
3314.330443 0.837605
3314.332758 0.858627
3314.335072 0.881833
3314.337387 0.905499
3314.339702 0.930162
3314.342017 0.943419
3314.344332 0.973986
3314.346646 0.990279
3314.348961 1.003523
3314.351276 1.009833
3314.353591 1.035633
3314.355906 1.040391
3314.358220 1.048565
3314.360535 1.063115
3314.362850 1.079579
3314.365165 1.088655
3314.367480 1.093702
3314.369794 1.111919
3314.372109 1.114991
3314.374424 1.123141
3314.376739 1.127889
3314.379054 1.136685
3314.381368 1.148164
3314.383683 1.152496
3314.385998 1.154870
3314.388313 1.157855
3314.390628 1.155157
3314.392942 1.151945
3314.395257 1.157839
3314.397572 1.158095
3314.399887 1.161997
3314.402202 1.155424
3314.404516 1.147491
3314.406831 1.148361
3314.409146 1.147101
3314.411461 1.132846
3314.413776 1.120530
3314.416090 1.122795
3314.418405 1.103895
3314.420720 1.085836
3314.423035 1.088653
3314.425350 1.071169
3314.427664 1.066193
3314.429979 1.049905
3314.432294 1.033123
3314.434609 1.022699
3314.436924 1.002446
3314.439238 0.985044
3314.441553 0.968280
3314.443868 0.959414
3314.446183 0.921328
3314.448498 0.905491
3314.450812 0.882257
3314.453127 0.870134
3314.455442 0.848588
3314.457757 0.823225
3314.460072 0.807218
3314.462386 0.805596
3314.464701 0.806692
3314.467016 0.807116
3314.469331 0.796669
3314.471646 0.787754
3314.473960 0.798351
3314.476275 0.793371
3314.478590 0.796141
3314.480905 0.791864
3314.483220 0.795535
3314.485534 0.789338
3314.487849 0.801682
3314.490164 0.798469
3314.492479 0.808899
3314.494794 0.809242
3314.497108 0.823212
3314.499423 0.837723
3314.501738 0.859990
3314.504053 0.881782
3314.506368 0.903763
3314.508682 0.926225
3314.510997 0.937989
3314.513312 0.948862
3314.515627 0.978135
3314.517942 1.001650
3314.520257 1.009067
3314.522571 1.019482
3314.524886 1.031822
3314.527201 1.053049
3314.529516 1.052715
3314.531831 1.067538
3314.534145 1.080130
3314.536460 1.094465
3314.538775 1.097738
3314.541090 1.105848
3314.543405 1.111166
3314.545719 1.111802
3314.548034 1.128058
3314.550349 1.134282
3314.552664 1.124506
3314.554979 1.128070
3314.557293 1.132429
3314.559608 1.140717
3314.561923 1.135567
3314.564238 1.136803
3314.566553 1.136992
3314.568867 1.130388
3314.571182 1.123132
3314.573497 1.116351
3314.575812 1.103611
3314.578127 1.104196
3314.580441 1.099204
3314.582756 1.098799
3314.585071 1.081357
3314.587386 1.078302
3314.589701 1.062115
3314.592015 1.063144
3314.594330 1.050210
3314.596645 1.035779
3314.598960 1.028962
3314.601275 1.015389
3314.603589 1.003991
3314.605904 0.985077
3314.608219 0.980540
3314.610534 0.955122
3314.612849 0.941037
3314.615163 0.913829
3314.617478 0.894526
3314.619793 0.870426
3314.622108 0.853041
3314.624423 0.837902
3314.626737 0.810002
